location,source,target,id,fuzzy,context,translator_comments,developer_comments
FLEET_COMBAT_FAIL_11,{Engaged pirate vessels. Hostile EMP fire disabled our targeting systems. Retreated to allow system reset.},,,,,,
FLEET_COMBAT_FAIL_12,{Encountered heavily-fortified pirate outpost. Onboard weapons insufficient to pierce hostile bunkers. Retreated.},,,,,,
FLEET_COMBAT_FAIL_13,"{Engaged hostile ships of unknown origin. Made moderate progress, but retreated on arrival of system authorities.}",,,,,,
FLEET_COMBAT_FAIL_14,{Ambushed by pirate vessels. Hostiles quickly retreated when we armed weapons to respond. No opportunity to claim bounty.},,,,,,
FLEET_COMBAT_FAIL_15,{Investigated debris left by a pirate fighter squadron. Abandoned ships were rigged as bombs. Retreated.},,,,,,
FLEET_COMBAT_FAIL_16,"{Engaged hostile vessels. Unable to break enemy cloaking device, forced to abandon engagement.}",,,,,,
FLEET_COMBAT_FAIL_17,{Pirate vessels observed on long-range scanners. Targets fled before our ships arrived at their location.},,,,,,
FLEET_COMBAT_FAIL_18,{Sector peaceful. No hostile forces encountered.},,,,,,
FLEET_COMBAT_FAIL_19,{No activity on long-range scanners. Crew performed torpedo maintenance.},,,,,,
FLEET_COMBAT_FAIL_20,{No activity on long-range scanners. Crew practised evacuation drills.},,,,,,
FLEET_COMBAT_FAIL_21,{No activity on long-range scanners. Boarding crews awarded additional cryo-sleep.},,,,,,
FLEET_COMBAT_FAIL_22,{No activity on long-range scanners. Crew practised gunnery skills.},,,,,,
FLEET_COMBAT_FAIL_23,{No activity on long-range scanners. Maintenance checks ordered on the long-range scanners.},,,,,,
FLEET_COMBAT_FAIL_24,{No activity on long-range scanners. Boarding crews re-allocated to ordinance fabrication.},,,,,,
FLEET_COMBAT_FAIL_25,{Sector empty. Hostile forces previously seen on radar presumed to be a glitch...},,,,,,
FLEET_COMBAT_FAIL_26,"{Pursued pirates across several sectors, but unable to maneuver into effective weapons range.}",,,,,,
FLEET_COMBAT_FAIL_27,{Followed reports of local pirate activity. Reports proved dishonest; target was a legitimate trader.},,,,,,
FLEET_COMBAT_FAIL_28,{Sector appeared abandoned. Bombarded local planets just in case. No activity noted.},,,,,,
FLEET_COMBAT_FAIL_29,{Sector appeared peaceful. Destroyed several suspicious-looking asteroids.},,,,,,
FLEET_COMBAT_FAIL_30,{Followed pirate beacons. Encountered only debris; assumed targets had been  previously exterminated.},,,,,,
FLEET_COMBAT_DAMAGE_1,{Ambushed while taking on supplies. Inner bulkheads suffered compression failure; sustained heavy damage.},,,,,,
FLEET_COMBAT_DAMAGE_2,"{Cornered several pirates. While negotiating their surrender, lead vessel rammed our fleet. Hostile ship entirely destroyed.}",,,,,,
FLEET_COMBAT_DAMAGE_3,{Critical hit sustained during combat. Significant losses of both oxygen and crew.},,,,,,
FLEET_COMBAT_DAMAGE_4,{Damage to munitions sustained during combat. Fire spread and caused significant internal damage.},,,,,,
FLEET_COMBAT_DAMAGE_5,{Engaged by malfunctioning Sentinel cruiser. Heavy damage sustained during retreat.},,,,,,
FLEET_COMBAT_DAMAGE_6,{Swarmed by large numbers of pirate ships. Hull breached by sustained small arms fire. Forced to retreat.},,,,,,
FLEET_COMBAT_DAMAGE_7,"{Took fire from advanced laser weaponry. Shields burned instantly, suffered heavy damage while engaging warp engines.}",,,,,,
FLEET_COMBAT_DAMAGE_8,{Engaged by ships of unknown origin. Heavy damage taken. Hull breached in several places. Enemy ships vanished without warning.},,,,,,
FLEET_COMBAT_DAMAGE_9,{Assaulted a pirate outpost. Took heavy from from planetary weapons stations. Forced to retreat.},,,,,,
FLEET_COMBAT_DAMAGE_10,"{Engaged by single ship. Hostile vessel destroyed, but fleet suffered severe projectile damage. Suspect hostile was fitted with experimental railgun technology.}",,,,,,
FLEET_COMBAT_DAMAGE_11,{Engaged pirate vessels. Forced to retreat after hostiles summoned backup from orbital weapons platform. Fleet suffered heavy bombardment.},,,,,,
FLEET_COMBAT_DAMAGE_12,"{Engaged by enemy ships. Attempted to return fire. Targeting systems hacked by hostile forces, inflicted high damage to own fleet. Retreated.}",,,,,,
FLEET_COMBAT_DAMAGE_13,{Engaged hostile fleet. Swarmed by fighters. Took heavy damage: small projectile weapons were fired into critical ventilation systems. Retreated.},,,,,,
FLEET_COMBAT_DAMAGE_14,{Dispatched boarding crews. Crew were forcibly returned to the fleet with hostile munitions. Hull damage taken. Retreated.},,,,,,
FLEET_COMBAT_DAMAGE_15,"{Cornered by pirate fleet. Used pulse drive to ram blockading frigates and escape to warp. Maneuver successful, but severe hull damage taken.}",,,,,,
FLEET_COMBAT_DAMAGE_16,"{Responded to distress signal. Ambushed at close range. Destroyed hostiles, but enemies fired from within shield radius and caused severe damage.}",,,,,,
FLEET_COMBAT_DAMAGE_17,{Engaged by overwhelming numbers of pirate vessels. Forced to retreat under heavy fire. Critical subsystems damaged.},,,,,,
FLEET_COMBAT_DAMAGE_18,"{Engaged hostile ships of unknown origin. Weapon systems totally ineffective. Attempted to gather data, but suffered severe damage and were forced to retreat.}",,,,,,
FLEET_COMBAT_DAMAGE_19,{Suffered weapons malfunction while engaging hostile forces. Took severe damage while unable to return fire. Forced to retreat.},,,,,,
FLEET_COMBAT_DAMAGE_20,"{Engaged by pirate using energy weapons. Shield systems held, but resulting power surge shorted out other critical components. Forced to retreat.}",,,,,,
FLEET_COMBAT_DAMAGE_21,{Attacked at long range by pirates with armour-piercing torpedoes. Ordinance pierced our hull and released flammable material. Severe damage to internal systems.},,,,,,
FLEET_COMBAT_DAMAGE_22,{Suffered extreme hull damage while leaving dock. Hostile ground forces attached limpet mines to fleet whilst we took on supplies.},,,,,,
FLEET_COMBAT_DAMAGE_23,"{Engaged by unknown forces. Extreme gravity weapon detonated. Hostile vessels apparently destroyed, hull severely damaged by spacetime shift.}",,,,,,
FLEET_COMBAT_DAMAGE_24,{Engaged hostile forces. Took fire from heat-based weaponry. Internal systems warped and burned. Retreated.},,,,,,
FLEET_COMBAT_DAMAGE_25,{Responded to distress signal. Abandoned ships released a swarm of combat drones. Hull compromised by drone deconstruction before warp drive could be charged.},,,,,,
FLEET_MINING_T1_1,"{Survey team mapped substantial asteroid field. Rocks plentiful, but individually of low value. Deployed geological matter scoops. At peak, processed %NUM% tonnes per second.}",,,,,,
FLEET_MINING_T1_2,"{Arrived in %SYSTEM% System. Had intended to jettison worthless geological matter. On arrival at space station, discovered these rocks were valued highly by local %RACE%. Sold waste material at substantial profit.}",,,,,,
FLEET_MINING_T1_3,"{Medium-range scanners detected unusually dense asteroid. Mining crew deployed surface probes. Substance did not match any known mineral. Despite density, gathered metal was incredibly soft and responded well to purification.}",,,,,,
FLEET_MINING_T1_4,{Scanners detected asteroid composed of highly reactive metal. Unable to safely break apart with conventional equipment. Refitted hangar bay for substance handling. Towed entire asteroid inside for safe processing.},,,,,,
FLEET_MINING_T1_5,{Scanners detected asteroid field in unusually close orbit around star in the %SYSTEM% System. Deployed heat shielding. Field was particularly rich in heavy metals.},,,,,,
FLEET_MINING_T1_6,"{Scanners detected large geological cloud. Primary composition: hard metals left over from asteroid collisions. Entered with extreme caution, deployed matter scoop. Fragments melted and recombined for high profit.}",,,,,,
FLEET_MINING_T1_7,{Entered giant molecular cloud in %SYSTEM% Sector. Deployed matter scoops. Gathered and processed %NUM% tonnes of proto-stellar material.},,,,,,
FLEET_MINING_T1_8,{Scanners detected large metal body near planet %PLANET%. Closer observation revealed the hulk of an abandoned freighter in slowly decaying orbit. Salvage crews stripped valuable components and returned them for processing.},,,,,,
FLEET_MINING_T1_9,{Scanners detected high number of small metal bodies moving rapidly through %SYSTEM% System. Deployed matter scoop. Recovered a mixture of jettisoned cargo and escape pods. No survivors found. Cargo of high value.},,,,,,
FLEET_MINING_T1_10,{Arrived in %SYSTEM% System. Space station ignored all attempts to hail. Close inspection revealed station had been abandoned. Deployed processing drones. Station dismantled and sold for scrap.},,,,,,
FLEET_MINING_T1_11,"{Low Gravity Mining Crew deployed to large asteroid near planet %PLANET%. Subsurface scan reveal huge organic object moving within the asteroid core. Crew evacuated, asteroid destroyed with starship weapons. Processed resulting bio-mineral goo.}",,,,,,
FLEET_MINING_T1_12,"{Low Gravity Mining Crew deployed to promising asteroid. On landing, crew detected lifesigns. Small %RACE% colony detected. Declined to mine. Purchased minerals from inhabitants for reasonable profit.}",,,,,,
FLEET_MINING_T1_13,{Scanners detected significant carbon source in asteroid belt. Low Gravity Mining Crew deployed. Organic 'asteroids' proved to be colossal eggs. Crew deemed it unwise to disturb them. Valuable liquids scooped elsewhere in the field.},,,,,,
FLEET_MINING_T1_14,"{Low Gravity Mining Crew deployed to large asteroid. While placing charges, discovered hidden pirate cache. Unable to determine the age of this contraband. Reclaimed and sold the loot.}",,,,,,
FLEET_MINING_T1_15,{Low Gravity Mining Crew deployed to large asteroid. Initial drilling disrupted by high-pressure water jets erupting from borehole. Liquid proved rich in dissolved minerals.},,,,,,
FLEET_MINING_T1_16,"{Low Gravity Mining Crew deployed to promising asteroid site. During equipment setup, miners noticed organic deposits on asteroid surface. Collected samples, sold on to scientists at local station.}",,,,,,
FLEET_MINING_T1_17,"{Deployed Low Gravity Mining Crew to asteroid field. Asteroid was not rock, as expected, but formed of highly dense ice. Deployed arc beams and melted through the surface. Collected large quantities of valuable gas.}",,,,,,
FLEET_MINING_T1_18,{Attempted to deploy Low Gravity Mining Crew to asteroid belt. Asteroids proved to be metallic liquid globules. Unable to land crew. Deployed matter scoop; liquid proved highly valuable.},,,,,,
FLEET_MINING_T1_19,{Surveyed asteroid field in the %SYSTEM% System. Field largely comprised of low-value compacted rock. Survey revealed one huge crystal asteroid at the heart of the field. Collected with tractor beam.},,,,,,
FLEET_MINING_T1_20,{Mined asteroids in the %SYSTEM% Sector. Collected material was %NUM%% valuable gems. Operation extremely lucrative.},,,,,,
FLEET_MINING_T1_21,{Mined in the %SYSTEM% Sector. Unusually productive asteroid belt discovered. Metal content high. Processed content was %NUM%% gold.},,,,,,
FLEET_MINING_T1_22,"{Mined asteroids in the %SYSTEM% Sector. Metal recovery rates extremely high. After processing, collected material was %NUM%% platinum. Substantial heavy metal content also recovered.}",,,,,,
FLEET_MINING_T1_23,{Deployed Low Gravity Mining Crew to large asteroid site. Crew discovered remains of previous drilling operation. Equipment timestamps indicate site was over 3%NUM% years old. AFMU hoppers full; abandoned minerals claimed.},,,,,,
FLEET_MINING_T1_24,{Low Gravity Mining Crew evacuated from asteroid site. Drilling operation revealed nanite foam bubbling from asteroid interior. Deployed remote mining drones to complete operation.},,,,,,
FLEET_MINING_T1_25,"{Low Gravity Mining Crew deployed. Asteroid surface proved highly unstable. Site had high liquid content, solar glare caused frequent gas eruptions. Crew completed their work with minimal loss of life. Collected minerals highly valuable.}",,,,,,
FLEET_MINING_T2_1,"{Deployed salvage crew to planet %PLANET%. Located rare exotic starship. Salvaged and repaired vessel, sold on for substantial profit.}",,,,,,
FLEET_MINING_T2_2,"{Deployed salvage crew to planet %PLANET%. Located badly damaged Type 7 starship. Vessel had several rare engine components. After repair, able to sell with extremely high profit margin.}",,,,,,
FLEET_MINING_T2_3,"{Located freighter crash site on planet %PLANET%. Ground team recovered valuable cargo, but crew reported whispers and other strange phenomena while near the cargo pods. Whispers stopped when pods were sold on.}",,,,,,
FLEET_MINING_T2_4,"{Planetary salvage team located freighter crash site. Hull badly damaged, munitions chambers largely intact. Specialist ground team recovered large amount of still-functioning weaponry.}",,,,,,
FLEET_MINING_T2_5,{Deployed salvage crew to planet %PLANET%. Located freighter crash site. Specialist recovery crew able to collect substantial volume of reactor fuel. Minimal poisoning.},,,,,,
FLEET_MINING_T2_6,{Orbital survey located freighter crash site on planet %PLANET%. Considerable amount of commercial-grade minerals left in cargo bay. Ground crew deployed to harvest material.},,,,,,
FLEET_MINING_T2_7,"{Orbital survey located freighter crash site on planet %PLANET%. Cargo bay stripped clean. However, specialist crew recovered substantial volume of encrypted data from ship's computer. Data sold on at trade outpost.}",,,,,,
FLEET_MINING_T2_8,{Planetary salvage team located freighter crash site. Crew conducted thorough search but found no valuable material left aboard. Deployed Colossus-class exocraft to cut up and process hull for scrap.},,,,,,
FLEET_MINING_T2_9,{Deployed salvage crew to planet %PLANET%. Located freighter crash site. Crew found highly reactive experimental weapons loaded into the freighter's munitions bay. Material successfully recovered.},,,,,,
FLEET_MINING_T2_10,{Located freighter crash site on planet %PLANET%. Specialist recovery crew determined hyperdrive was fitted with high-value experimental technology. Successful salvage operation mounted.},,,,,,
FLEET_MINING_T2_11,"{Salvage crew deployed to starship crash site. Located three ships, each positioned so as to face inwards. Minimal damage, no bodies found. Sold ships to scrap dealer.}",,,,,,
FLEET_MINING_T2_12,{Located freighter remains on planet %PLANET%. Hull of little to no worth. Specialist recovery crew syphoned heavy fuel oil from freighter tanks.},,,,,,
FLEET_MINING_T2_13,{Exploratory Salvage Crew located two undamaged starships on planet %PLANET%. Pilots appear to have been killed during an on-foot duel. Claimed ships as abandoned; sold on for substantial profit.},,,,,,
FLEET_MINING_T2_14,"{Salvage crew began operation on planet %PLANET%. Hole cut in crashed freighter hull. Crew surprised by release of vacuum from within the hold. Once atmosphere stabilised, stripped hull for valuable metals.}",,,,,,
FLEET_MINING_T2_15,{Salvage crew deployed to planet %PLANET%. Attacked by aggressive harvester drones while attempting to collect parts from crashed starship. Deployed security shuttle to secure the site. Operation completed successfully.},,,,,,
FLEET_MINING_T2_16,"{Salvage crew performed operation on planet %PLANET%. Specialist team employed to remove booby traps from crashed freighter interior. With explosives disarmed, recovered several high-value components.}",,,,,,
FLEET_MINING_T2_17,{Orbital salvage scan located crashed freighter on hazardous planet %PLANET%. Recovered ships log; sold log and location data to freighter's owner.},,,,,,
FLEET_MINING_T2_18,"{Planetary salvage team located high-value fighter-class starship. Ship had been badly damage by laser fire. Datamining revealed former pilot to be a pirate of some renown. Claimed bounty on pilot, sold ship to collector for substantial profit.}",,,,,,
FLEET_MINING_T2_19,{Planetary salvage team located crashed Gek freighter. Exterior showed signs of attempted forced entry. Specialist crew gained access and found substantial treasure vaults inside.},,,,,,
FLEET_MINING_T2_20,{Planetary salvage team located crashed Korvax freighter. Hold was filled entirely with active Convergence Cubes. No sign of former crew. Able to sell Cubes to Korvax merchant found at trade outpost.},,,,,,
FLEET_MINING_T2_21,{Planetary salvage team located freighter crash site. Cargo pods appear to have been picked clean. Close examination revealed additional smuggling pods hidden inside fuel tanks. Recovered large amount of valuable goods.},,,,,,
FLEET_MINING_T2_22,{Salvage team deployed to freighter crash site. Lifesigns detected. Crew discovered cargo hold full of caged animals. Active monitoring equipment noted. Crew opened all cages and salvaged the equipment.},,,,,,
FLEET_MINING_T2_23,{Ground crew deployed to freighter crash site. Ship was constructed from advanced material alloys. Salvage team stripped hulk of valuable components and returned them to the fleet for processing.},,,,,,
FLEET_MINING_T2_24,{Salvage crew deployed to freighter crash site on planet %PLANET%. Substantial quantities of tinned food found inside hold. Pallets collected by shuttle and sold on at space station.},,,,,,
FLEET_MINING_T2_25,"{Salvage crew deployed to freighter crash site on planet %PLANET%. Cargo comprised largely of worthless trinkets. Processing team melted and purified cargo, creating valuable alloys.}",,,,,,
FLEET_MINING_T3_1,{Mining crew deployed to planet %PLANET%. Found cave system with exceptionally high gold content. Venture highly profitable.},,,,,,
FLEET_MINING_T3_2,{Mining crew deployed to planet %PLANET%. Found cave system lined with vast deposits of silver. Expedition profit: 2%NUM%%},,,,,,
FLEET_MINING_T3_3,"{Mining crew deployed to planet %PLANET%. Found exceptionally large emeril deposits on planet surface. Hazardous atmosphere reduced margins, but venture still highly profitable.}",,,,,,
FLEET_MINING_T3_4,{Mining crew deployed to planet %PLANET%. Encountered significant igneous formations. Scanning revealed rocks contained frequent gem deposits. Planet atmosphere necessitated deploying additional heat-shielding. Profit: 2%NUM%%.},,,,,,
FLEET_MINING_T3_5,{Planetary mining crew penetrated sediment layer on planet %PLANET%. Discovered extensive cave system. Valuable mould found growing over cave rocks.},,,,,,
FLEET_MINING_T3_6,"{Mining crew deployed to planet %PLANET%. Dug for several miles without incident. Stumbled into enormous chasm. Water flow detected, along with substantial platinum deposits.}",,,,,,
FLEET_MINING_T3_7,{Deep-level mining crew reached significant depth on planet %PLANET%. Heat and pressure conditions resulted in several novel alloys. Extraction successful.},,,,,,
FLEET_MINING_T3_8,"{Surface mining team on planet %PLANET% report striking oil. Deployed specialist extraction and processing team to planet's surface. Oil quality high, viscosity acceptable. Profit at 1%NUM%%.}",,,,,,
FLEET_MINING_T3_9,"{Mining team reported unusual discovery on planet %PLANET%. Crew entered cave system as normal. Instead of minerals, located row after row of unlabelled barrels. Suspect smuggler activity. Confiscated barrels, contents proved highly valuable.}",,,,,,
FLEET_MINING_T3_10,{Deep-level mining team returned from planet %PLANET% with unusual cargo. Crew reached %NUM%00m when they detected radio waves. Path diverted. Encountered ancient distress beacon and freighter remains. Recovered valuable technology.},,,,,,
FLEET_MINING_T3_11,{Mining crew extracted %NUM%00 tonnes of biological/geological hybrid material from planet %PLANET%. Bioluminescent rocks in high demand. Profits substantial.},,,,,,
FLEET_MINING_T3_12,"{Mining crew deployed to planet %PLANET%. Enter extensive cave system. Drones deployed but unable to find cave limits. Nonetheless, recovered substantial mineral deposits.}",,,,,,
FLEET_MINING_T3_13,"{Mining crew deployed to apparently dry planet. Drilled into extensive cave system, located substantial underground rivers. Rock mineral content high.}",,,,,,
FLEET_MINING_T3_14,{Mining crew entered cave system on planet %PLANET%. Observed huge crystalline structures formed from mineral salt deposits. Formations proved both beautiful and highly valuable.},,,,,,
FLEET_MINING_T3_15,{Planetary mining team deployed to planet %PLANET%. Ground was chalky and unstable. Large number of sinkholes. Pumped metal-rich liquid from sinkhole pools.},,,,,,
FLEET_MINING_T3_16,{Mining crew discovered tunnels on planet %PLANET%. Reinforced existing bulwarks and commenced exploration. Rich mineral seam detected and processed.},,,,,,
FLEET_MINING_T3_17,{Mining team extracted %NUM%00 tonnes ore from planet %PLANET%. Caused temporary cave-in. Crew able to tunnel out successfully.},,,,,,
FLEET_MINING_T3_18,{Mining crew deployed to planet %PLANET%. Found large deposits of commercial grade uranium. Extraction successful. Crew mutations: minor.},,,,,,
FLEET_MINING_T3_19,"{Mining crew located promising cave on planet %PLANET%. Discovered unusually sculpted rocks, beautiful and statuesque. Valuable metal content: %NUM%%.}",,,,,,
FLEET_MINING_T3_20,{Mining crew encountered unusually hard rocks on planet %PLANET%. Switched conventional drill for high-pressure acid jets. Operation successful. Mineral yield: %NUM%00 tonnes.},,,,,,
FLEET_MINING_T3_21,"{Orbital scan detected planet with pure metal surface. Deployed mining teams. Hazardous atmosphere prevented long-term operation. Even with short operating window, mined %NUM%000 tonnes of metal.}",,,,,,
FLEET_MINING_T3_22,{Deep-level mining crew reported anomalous situation. Planet became colder the deeper they drilled. Extracted %NUM%00 tonnes of mineral-rich ice.},,,,,,
FLEET_MINING_T3_23,{Planetary mining crew encountered electrically-charged stalagmites during cave exploration. Internal lightning made mining conditions challenging. Minerals highly valuable once extracted.},,,,,,
FLEET_MINING_T3_24,"{Planetary mining crew extracted unusual and highly valuable minerals from cave on planet %PLANET%. Collected rocks were dull brown and crumbly, but gave off an overwhelmingly beautiful aroma.}",,,,,,
FLEET_MINING_T3_25,"{Planetary mining crew followed mineral seam into large chasm. No visual on floor. Activated sonar depth-test. No return ping. Crew diverted tunnel, mined more conventional seam.}",,,,,,
FLEET_MINING_T4_1,{Assisted %RACE% with industrial cleanup. Performed controlled demolition of unwanted planetary trade outpost on planet %PLANET%.},,,,,,
FLEET_MINING_T4_2,"{Assisted %RACE% with industrial mission. Specialist salvage crew performed cleanup operation on nanite-infested abandoned buildings. Nanite foam contained, harvested valuable scrap.}",,,,,,
FLEET_MINING_T4_3,{Assisted %RACE% with orbital cleanup operation. Low Gravity Salvage Crew deployed around abandoned space station. Assisted with ship-mounted mining lasers. Station successfully dismantled.},,,,,,
FLEET_MINING_T4_4,"{Assisted trade outpost authorities on planet %PLANET%. Outpost had become clogged with damaged or abandoned starships. Collected, repaired and recycled %NUM% abandoned vessels.}",,,,,,
FLEET_MINING_T4_5,{Assisted %RACE% authorities in %SYSTEM% Sector. Safely destroyed abandoned structures. Avoided crew exposure to nanite foam through use of highly-targeted orbital laser. Ground crew completed cleanup.},,,,,,
FLEET_MINING_T4_6,{Performed industrial cleanup operation on planet %PLANET%. Mining and salvage crews cooperated to remove dug-in foundations of former trade outpost. Extracted harmful metals from topsoil.},,,,,,
FLEET_MINING_T4_7,{Salvage crew processed abandoned buildings on planet %PLANET%. Recovered several highly valuable atmosphere generators. Restored them to working order and sold for reasonable profit.},,,,,,
FLEET_MINING_T4_8,{Industrial cleanup crew processed abandoned buildings on planet %PLANET%. Building structure largely worthless. Extracted valuable atmospheric gases from internal life support system.},,,,,,
FLEET_MINING_T4_9,"{Assisted %RACE% authorities on planet %PLANET%. Performed controlled demolition of abandoned buildings. Prior to detonation, extracted valuable metals and other technological components from building computer hardware.}",,,,,,
FLEET_MINING_T4_10,{Industrial cleanup crew deployed to abandoned space station. Specialists removed nanite foam infestation. Local %RACE% authorities able to resume residence in the station.},,,,,,
FLEET_MINING_T4_11,{Salvage crew collected large volumes of abandoned hardware from planets in the %SYSTEM% System. Onboard recycling plants extracted significant quantity of rare metals.},,,,,,
FLEET_MINING_T4_12,{Took delivery of %NUM% abandoned starships in low-conflict system. Industrial processing unit recycled ships into more commercially viable products.},,,,,,
FLEET_MINING_T4_13,"{Assisted %RACE% authorities in %SYSTEM% System. Deployed industrial cleanup crew to nuclear accident. Removed contamination, processed radioactive soil into commercial batteries.}",,,,,,
FLEET_MINING_T4_14,{Salvage crew and industrial cleanup team cooperated on recovery of reactor fuel from freighter crash site. Fuel recycled into %NUM% smaller fuel pods.},,,,,,
FLEET_MINING_T4_15,{Industrial cleanup crew deployed to crashed freighter site on planet %PLANET%. Few salvageable materials. Crew decommissioned freighter weapons systems for local authorities. Hull left in place as wildlife habitat.},,,,,,
FLEET_MINING_T4_16,{Performed low-atmosphere dredge on planet %PLANET%. Matter scoops collected %NUM%00 tonnes of clouds. Gas processing successful.},,,,,,
FLEET_MINING_T4_17,{Industrial cleanup crew processed several abandoned radio transmitters on planet %PLANET%. Onboard recycling plant salvaged both commercial-grade metal and upgrade components for the fleet's radar systems.},,,,,,
FLEET_MINING_T4_18,{Deployed orbital dredging ships to planet %PLANET%. Microdensity netting scooped %NUM%000 tonnes valuable metal salt from ocean water.},,,,,,
FLEET_MINING_T4_19,{Deployed orbital dredge to planet %PLANET%. Nanotube netting collected and filtered %NUM%0000 tonnes of grit. Processed into high-value rare metals.},,,,,,
FLEET_MINING_T4_20,{Began orbital dredging of planet %PLANET%. Microdensity netting calibrated for plankton. Scooped %NUM%0000 tonnes bioluminescent algae. Processed into high-calorie nutrient cubes.},,,,,,
FLEET_MINING_T4_21,"{Began systemic orbital dredge of oceans on planet %PLANET%. Deployed coarse-grained netting, calibrated for seabed mineral extraction. Collected %NUM%0 tonnes of commercial-grade gemstones.}",,,,,,
FLEET_MINING_T4_22,{Assisted %RACE% authorities in %SYSTEM% System. Deployed specialist cleanup crew to build protective structure around failed nuclear reactor. Containment highly effective. Operation successful.},,,,,,
FLEET_MINING_T4_23,{Assisted %RACE% authorities in %SYSTEM% System. Specialist cleanup crew constructed protective casing around nanite-infested building. Foam expansion contained. Site sealed successfully.},,,,,,
FLEET_MINING_T4_24,{Assisted %RACE% authorities on planet %PLANET%. Insect infestation out of control. Eradication efforts failed. Deployed specialist construction team to build protective shell around nest. Infestation contained.},,,,,,
FLEET_MINING_T4_25,{Mining crew unearthed ancient structure buried in topsoil. Deployed specialist recovery crew to examine site. Salvaged highly valuable preserved wood and polished stone slabs.},,,,,,
FLEET_MINING_SEC_1,"{Detected anomalous broadcast on emergency channel. Deployed ground team to freighter crash site. No lifesigns noted. Ship's AI still functioning, appeared to be source of signal. AI circuits recovered, installed in fleet. Claimed crash cargo.}",,,,,,
FLEET_MINING_SEC_2,"{Planetary exploration team encountered crashed ship. On approach, distress beacon projected a large red orb. Orb appeared to scan crew, then vanished. Recovered valuable salvage from ship.}",,,,,,
FLEET_MINING_SEC_3,{Offered several damaged starships by merchant at space station. Engineering crew able to dismantle and strip the vessels. Valuable parts salvaged.},,,,,,
FLEET_MINING_SEC_4,"{Survey team detected large mineral deposit while exploring planet %PLANET%. Focused fleet weaponry, mined deposit from low orbit.}",,,,,,
FLEET_MINING_SEC_5,"{Ground crew found large mineral deposit while exploring planet %PLANET%. Rock was soft and crumbly, minerals readily accessible using multi-tool mining lasers.}",,,,,,
FLEET_MINING_SEC_6,{Deployed drones to scan planet %PLANET%. Rich mineral seam located. Ground crew armed with multi-tools and sent into caves for mineral extraction.},,,,,,
FLEET_MINING_SEC_7,{Tested experimental robot crew on planet %PLANET%. Drone team were instructed to collect valuable minerals. Drone performance: excellent. Operation successful.},,,,,,
FLEET_MINING_SEC_8,{Crew scouted planet %PLANET%. Discovered readily-accessible mineral source. Loaded orbital hauler and returned to the fleet.},,,,,,
FLEET_MINING_SEC_9,{Ground crew returning from planet %PLANET% when orbital hauler passed a large mineral deposit. Crew landed. Valuable metals extracted.},,,,,,
FLEET_MINING_SEC_10,"{Scanned planet %PLANET% for lifeforms. Few living beings detected, but scan identified large biomineral deposits. Deployed ground crew to perform extraction.}",,,,,,
FLEET_MINING_SEC_11,"{Investigated strange signals in %SYSTEM% System. Traced broadcast to crashed freighter. Hull shattered, but cargo pods in good condition. Extracted valuable materials.}",,,,,,
FLEET_MINING_SEC_12,"{Encountered abandoned starship drifting through %SYSTEM% System. Towed into mothership hanger. No trace of pilot, ship processed for valuable metals.}",,,,,,
FLEET_MINING_SEC_13,{Encountered damaged freighter drifting through %SYSTEM% System. Dispatched shuttles to investigate. No sign of freighter crew. Stripped hull for valuable components.},,,,,,
FLEET_MINING_SEC_14,{Radar detected slow-moving metal objects drifting through %SYSTEM% Sector. Deployed tractor beam. Objects appeared to be debris from a freighter collision. Processed scrap for sale at trade terminal.},,,,,,
FLEET_MINING_SEC_15,"{Detected fast-moving metal bodies in the %SYSTEM% Sector. Scrambled fighters. Bodies proved to be metal-rich asteroids. Fired weapons, collected metal scrap for sale.}",,,,,,
FLEET_MINING_SEC_16,"{Navigation error led to fleet warping into an asteroid belt. While recalculating route, landed ground crews on asteroids to make the most of the opportunity. Valuable metals mined.}",,,,,,
FLEET_MINING_SEC_17,"{Crossed planetary rings while attempting orbital scan of planet %PLANET%. Deployed matter scoops, collected substantial volume of valuable metal dust.}",,,,,,
FLEET_MINING_SEC_18,"{Fleet early warning system mistook asteroid belt for incoming enemy fighters. Asteroids appeared valuable, so deployed fighters anyway. Destroyed asteroids, harvested valuable metals.}",,,,,,
FLEET_MINING_SEC_19,{Arrived in %SYSTEM% Sector. Area appears devoid of interesting life. Deployed ground crew to collect minerals from nearby planets while warp drive prepares for next jump.},,,,,,
FLEET_MINING_SEC_20,{Arrived in %SYSTEM% Sector. System conflict level: high. Valuable debris: plentiful. Deployed tractor beam to harvest scrap metals while plotting new route.},,,,,,
FLEET_MINING_SEC_FAIL_1,{Survey detected abandoned starship on planet %PLANET%. Errors in survey data: current ship owner unimpressed by sudden appearance of salvage crew.},,,,,,
FLEET_MINING_SEC_FAIL_2,{Attempted to salvage crashed freighter on planet %PLANET%. Ground crew engaged by rival %RACE% scrap crew. Retreated.},,,,,,
FLEET_MINING_SEC_FAIL_3,"{Survey revealed large mineral deposits on planet %PLANET%. Deployed ground crew to begin mining. Seismic activity high, crew unable to work safely. Operation cancelled.}",,,,,,
FLEET_MINING_SEC_FAIL_4,{Recovered valuable scrap from freighter crash site. Onboard industrial facilities underpowered. Processing unsuccessful.},,,,,,
