SCAN_NO_TECH	{No scan technology installed}
WAR_FAC_OPT_A_2	{Bark 'Grah!'}
WAR_FAC_OPT_B_2	{Say everything's fine}
WAR_FAC_OPT_C_2	{Apologise}
WAR_FAC_RES_A_2	{The terminal releases some products.

My subterfuge is rewarded.}
WAR_FAC_RES_B_2	{I explain there was a slight weapons malfunction, but everything's perfectly alright now.

A powerful electric current pulses through my body.}
WAR_FAC_RES_C_2	{I hear a gruff noise of acceptance.}
WAR_FAC_DESC_3	{A laser scan refracts through my visor, then another traces the air around my breathing exhaust.

My gas concentration levels don't match the warrior standard.}
DNT_WAR_FAC_LANG_3	{Intruder detected! Respiration gas concentration high! Enemy respiration!!}
WAR_FAC_OPT_A_3	{Use exosuit to decrease gas concentration}
WAR_FAC_OPT_B_3	{Use exosuit to increase gas concentration}
WAR_FAC_RES_A_3	{I feel nauseous.

Nothing happens.}
WAR_FAC_RES_B_3	{I feel dizzy, but the system is online.}
WAR_FAC_DESC_4	{Two holographic security circuit images are on-screen. An open metal doorway, and the facility's Sentinel detection system.

I can cut one off to reduce the alert. I need to act quickly}
DNT_WAR_FAC_LANG_4	{Security alert! Pathetic interloper destroyed war factory entrance door! Sentinels absent!}
WAR_FAC_OPT_A_4	{Cut doorway alert}
WAR_FAC_OPT_B_4	{Cut sentinel intrusion alert}
WAR_FAC_RES_A_4	{The facility becomes operational.}
WAR_FAC_RES_B_4	{The terminal initiates an emergency shutdown.}
WAR_FAC_DESC_5	{The floor feels unsteady, and something clicks beneath my feet. The screen locks.

Systems are aware I'm not the lifeform that usually operates here...}
DNT_WAR_FAC_LANG_5	{Vy'keen security system alert! Pressure pad enemy detection confirmed! Too heavy!}
WAR_FAC_OPT_A_5	{Use jetpack to hover}
WAR_FAC_OPT_B_5	{Reduce weight}
WAR_FAC_OPT_C_5	{Stand on one leg}
WAR_FAC_RES_A_5	{The pressure pad has no weight to report.

The terminal remains inoperative.}
WAR_FAC_RES_B_5	{I briefly set my heavy multi-tool aside.

The facility becomes operational.}
WAR_FAC_RES_C_5	{Warrior laughter emanates from nearby speakers.

The terminal remains powered down.}
WAR_FAC_DESC_6	{My presence has triggered a security alert. I hear elements being drawn from the two open vaults below me. On-screen: a clear countdown.

An intense exothermic elemental reaction is being charged. It's a trap.}
DNT_WAR_FAC_LANG_6	{Intruder alert! Commence detonation sequence! Organic fuel flow initiated!}
WAR_FAC_OPT_A_6	{Remove organic element}
WAR_FAC_OPT_B_6	{Remove catalyst}
WAR_FAC_OPT_C_6	{Wait}
WAR_FAC_RES_A_6	{Disaster is averted.

The factory restarts operations.}
WAR_FAC_RES_B_6	{I remove the catalyst.

A minor explosion scorches my arm, before facility operations resume.}
WAR_FAC_RES_C_6	{A blast of flame coats me from below.

The facility remains non-operational.}
WAR_FAC_DESC_7	{Security procedures are incinerating the content of all the vaults in the facility. Power surges are igniting them one-by-one. 

I can isolate one vault from the destruction but I can't see inside...}
DNT_WAR_FAC_LANG_7	{Intruder alert! Incinerating trading vault: empty. Incinerating power vault: fuel. Incinerating storage vault: multi-tool.}
WAR_FAC_OPT_A_7	{Isolate trading vault}
WAR_FAC_OPT_B_7	{Isolate power vault}
WAR_FAC_OPT_C_7	{Isolate storage vault}
WAR_FAC_RES_A_7	{The trading vault is empty.

The surrounding vaults are incinerated.}
WAR_FAC_RES_B_7	{I salvage something useful from the power vault.}
WAR_FAC_RES_C_7	{I salvage something very useful from the storage vault.}
WAR_FAC_DESC_8	{A transmission is firing on emergency frequencies. A ship is in orbit trying to determine the facility's location. It's preparing weapon systems.

I don't have long to act.}
DNT_WAR_FAC_LANG_8	{Security breach! Military action unstoppable! Vy'keen High Command vessel coordinate upload imminent!}
WAR_FAC_OPT_A_8	{Cut security alert transmission}
WAR_FAC_OPT_B_8	{Change stored coordinates}
WAR_FAC_OPT_C_8	{Wait}
WAR_FAC_RES_A_8	{A disruption bolt strikes the roof of the facility.

It is rendered inoperable.}
WAR_FAC_RES_B_8	{I hear a distant explosion and the screams of burning animals. 

The facility's processes return to normal.}
WAR_FAC_RES_C_8	{A disruption bolt strikes the roof of the facility.

It is rendered inoperable.}
WAR_FAC_DESC_9	{Security scanners click and whirr as they focus. My bright red image is on-screen.

Black lines that match the position of my exosuit's coolant mesh are clearly visible.}
DNT_WAR_FAC_LANG_9	{Interloper detection! Heat detection systems confirm report! High temperature intruder!}
WAR_FAC_OPT_A_9	{Decrease coolant flow}
WAR_FAC_OPT_B_9	{Increase coolant flow}
WAR_FAC_RES_A_9	{My image disappears from the screen.

I extract my reward from the facility.}
WAR_FAC_RES_B_9	{The image suddenly blooms bright red.

The terminal becomes entirely inoperable.}
WAR_FAC_DESC_12	{The warrior stationed here has abandoned its training. A vast amount of data still flows through the circuitry.

The terminal is asking for a particular variety of common element.}
DNT_WAR_FAC_LANG_12	{Pathetic warrior learn Vy'keen language! Pass test or encounter fighting pits! ERROR ERROR INSERT CATALYST ERROR ERROR MALFUNCTION}
WAR_FAC_OPT_A_12	{Insert metal}
WAR_FAC_OPT_B_12	{Insert catalyst}
WAR_FAC_OPT_C_12	{Insert organic element}
WAR_FAC_RES_A_12	{The comprehension test powers down.

It has been failed.}
WAR_FAC_RES_B_12	{The comprehension test has been failed.}
WAR_FAC_RES_C_12	{I pass the comprehension test, and am rewarded with words of unknown cultures.}
WAR_FAC_DESC_13	{Sentinel components are being fed into the production machinery from resource vaults. 

The terminal needs instructions on what it should extract.}
DNT_WAR_FAC_LANG_13	{Grah! Bountiful Sentinel hunt! Initiate sentinel blood processing!}
WAR_FAC_OPT_A_13	{Initiate metal processing}
WAR_FAC_OPT_B_13	{Initiate catalyst extraction}
WAR_FAC_OPT_C_13	{Initiate pugneum processing}
WAR_FAC_RES_A_13	{I hear the robots being crushed and incinerated.

Nothing is extracted.}
WAR_FAC_RES_B_13	{I hear the robots being crushed and incinerated.

Nothing is extracted.}
WAR_FAC_RES_C_13	{I hear the robots being crushed and incinerated.

A rich reward is extracted.}
WAR_FAC_DESC_14	{An animated gilled blob is on-screen waving a gun. It talks in the language of the warriors, but brightly and happily.

It springs happily between bloodied runes, then asks for a donation of units.}
DNT_WAR_FAC_LANG_14	{Grah! Education blob! Greetings Vy'keen cub! Insert units for education!}
WAR_FAC_OPT_A_14	{Insert units}
WAR_FAC_OPT_B_14	{Insert units}
WAR_FAC_OPT_C_14	{Walk away}
WAR_FAC_RES_A_14	{The educational program teaches me some of the language of the warriors!}
WAR_FAC_RES_B_14	{The animated blob senses my withdrawal from the terminal.

It has been programmed to start crying at this point.}
WAR_FAC_DESC_15	{A biological probe antenna launches from the terminal and fuses with my exosuit. I can't move.

There's no way to tell if this is a normal function, or a security measure.}
DNT_WAR_FAC_LANG_15	{Interloper electrification initializing! Punishment commencing!}
WAR_FAC_OPT_A_15	{Escape}
WAR_FAC_OPT_B_15	{Wait}
WAR_FAC_RES_A_15	{I use my jetpack's propulsion to break the probe.

It contains something useful...}
WAR_FAC_RES_B_15	{The probe becomes electrified.

The smell of burnt flesh spreads up into my visor.}
WAR_FAC_DESC_16	{The alarm hasn't disrupted the factory's production line. Resources are being drawn from the vaults below me, but they have run dry.

I could obtain whatever the mechanisms are creating with the right element...}
DNT_WAR_FAC_LANG_16	{Grah! Gek war preparation disrupted! Ammunition production stalled! Metal required!}
WAR_FAC_OPT_A_16	{Insert metal}
WAR_FAC_OPT_B_16	{Insert organic matter}
WAR_FAC_OPT_C_16	{Insert catalyst}
WAR_FAC_RES_A_16	{The war factory's work is allowed to continue.

I reap my reward.}
WAR_FAC_RES_B_16	{I hear the sound of the manufacturing process imploding with my contribution.

The war factory grinds to a halt.}
WAR_FAC_DESC_17	{Elements are being stockpiled. Storage vaults have been filled by local warriors.

There's still space for a metal, but my scanner can't tell which one...}
DNT_WAR_FAC_LANG_17	{Gek war approaches! Scarce elements required! High Command demand chromatic metal! Contribute warrior!}
WAR_FAC_OPT_A_17	{Insert pure Ferrite}
WAR_FAC_OPT_B_17	{Insert magnetised Ferrite}
WAR_FAC_OPT_C_17	{Insert Chromatic Metal}
WAR_FAC_RES_A_17	{An automated bark of thanks is played.

I receive a reward.}
WAR_FAC_RES_B_17	{An automated bark of confusion is played.

My contribution goes unrewarded.}
WAR_FAC_DESC_18	{A warrior has booby-trapped the terminal. The security alert has triggered the timer on an explosive charge. There are two wires exposed.

The warrior has left a note. Only seconds remain...}
DNT_WAR_FAC_LANG_18	{Grah! Pathetic interloper! Honourable warning: cut red wire? Certain death!}
WAR_FAC_OPT_A_18	{Cut red wire}
WAR_FAC_OPT_B_18	{Cut blue wire}
WAR_FAC_OPT_C_18	{Move back}
WAR_FAC_RES_A_18	{The explosion takes the terminal out of action, and almost me with it.}
WAR_FAC_RES_B_18	{The bomb is defused.

Operations are restored.}
WAR_FAC_RES_C_18	{I move away just in time.

The terminal is damaged and inoperable.}
WAR_FAC_DESC_19	{A secondary security sweep is underway. Scanners emerge from the ceiling and start to pan towards where I stand.

If they detect me the facility will go into a full lockdown...}
DNT_WAR_FAC_LANG_19	{Security scan initializing! Motion detection cameras operational!}
WAR_FAC_OPT_A_19	{Move to hiding spot}
WAR_FAC_OPT_B_19	{Stand still}
WAR_FAC_RES_A_19	{The scanners detect me ducking down to hide.

The facility becomes offline.}
WAR_FAC_RES_B_19	{The scanners pass over me. Their sweep concludes.

The installation remains operational.}
WAR_FAC_DESC_20	{A warrior's heart is on-screen. It is connected to wires and artificial valves. It pumps a biological liquid through harvested organs deep within the facility.

Its beat is irregular. It has been compromised by the security alert.}
DNT_WAR_FAC_LANG_20	{Intruder alert! Battle enzyme production halted! Electrical charge removed from body harvest circuit!}
WAR_FAC_OPT_A_20	{Increase electrical flow}
WAR_FAC_OPT_B_20	{Initiate adrenalin flux}
WAR_FAC_OPT_C_20	{Power down systems}
WAR_FAC_RES_A_20	{The heart's beat is maintained. Its strange existence continues.

The facility remains online.}
WAR_FAC_RES_B_20	{The heart beats faster, but then suddenly beats no more.

The terminal dies with it.}
WAR_FAC_RES_C_20	{The terminal goes offline.

The body organs that relied on its processes are starved of oxygen, and die.}
WAR_FAC_DESC_21	{The alert has obscured the information on the primary terminal. I can only make out a few words.

If I can work out what was being worked on here, I can restart the workflow – and restore operations.}
DNT_WAR_FAC_LANG_21	{// SPACE // WARP // LARGE //}
WAR_FAC_OPT_A_21	{Drop pod}
WAR_FAC_OPT_B_21	{Starship}
WAR_FAC_OPT_C_21	{Freighter}
WAR_FAC_RES_A_21	{The resident warrior's workflow is restored.

The system comes back online.}
WAR_FAC_RES_B_21	{I fail to access the resident warrior's workflow.

The installation remains offline.}
WAR_FAC_DESC_22	{Interference from the security alert has turned the screen to static. I can hardly make out anything beyond a few words.

If I work out which workflow has been scrambled I can restore systems...}
DNT_WAR_FAC_LANG_22	{// OFFENSIVE // WEAPON // STARSHIP //}
WAR_FAC_OPT_A_22	{Boltcaster}
WAR_FAC_OPT_B_22	{Photon Cannon}
WAR_FAC_OPT_C_22	{Mining Laser}
WAR_FAC_DESC_23	{The screen is a jumble of words, few of which aren't drowned in static.

The on-screen workflow is scrambled. If I can identify it, I can bring it back online...}
DNT_WAR_FAC_LANG_23	{// ENEMY // PATHETIC // BEAK // DOOMED // TRADER //}
WAR_FAC_OPT_A_23	{Gek}
WAR_FAC_OPT_B_23	{Sentinels}
WAR_FAC_OPT_C_23	{Atlas}
WAR_FAC_DESC_24	{The facility's production harvest is underway. I can speed up systems by boosting some of the machinery operating below me.

What appears to be a power management screen is open on the terminal...}
DNT_WAR_FAC_LANG_24	{POWER REPORT. Electromagnetic coil: charge falling. Power core: acceptable boundaries. Primary motherboard: levels high.}
WAR_FAC_OPT_A_24	{Boost power core}
WAR_FAC_OPT_B_24	{Boost primary motherboard}
WAR_FAC_OPT_C_24	{Boost electromagnetic coil}
WAR_FAC_DESC_25	{The security alarm hasn't impacted production. Below my feet unseen equipment prepares the mineral harvest.

I can speed up the process by eliminating unnecessary systems. The on-screen automated report will help...}
DNT_WAR_FAC_LANG_25	{SUBSIDIARY SYSTEMS. Temporal capacitor: operational. Central AI core: operational. Gravitational stabilisers: unscheduled drain, disconnection advised.}
WAR_FAC_OPT_A_25	{Remove temporal capacitor}
WAR_FAC_OPT_B_25	{Remove central AI core}
WAR_FAC_OPT_C_25	{Remove gravitational stabilisers}
WAR_FAC_DESC_26	{An automated report finished just before my incursion. As it did so, laser beams in resource vaults dimmed.

I can find a way to tweak this system, and to speed up the production cycle...}
DNT_WAR_FAC_LANG_26	{LASER SYSTEMS REPORT. Refraction systems: full efficiency. Laser assisted replication tank: full efficiency. Beam integrity systems: poor efficiency and performance. Engineer alerted.}
WAR_FAC_OPT_A_26	{Reconfigure laser refraction}
WAR_FAC_OPT_B_26	{Reconfigure laser-assisted replication}
WAR_FAC_OPT_C_26	{Reconfigure laser beam integrity}
WAR_FAC_DESC_27	{The noise of gas being flushed through systems beneath my feet can be heard over the noise of the alert. An automated report flashes onto the terminal.

I can use it to boost production speed, and hopefully maintain it.}
DNT_WAR_FAC_LANG_27	{GAS INTEGRITY REPORT. Distribution network: full efficiency. Storage tank: breach detected. Pressure valves: operational.}
WAR_FAC_OPT_A_27	{Rebalance distribution network}
WAR_FAC_OPT_B_27	{Rebalance storage tank}
WAR_FAC_OPT_C_27	{Rebalance pressure valves}
WAR_FAC_DESC_28	{A faint chill can be felt while the security alert sounds. Coolant pipes are flushed, and an automated report appears on-screen.

I can use its findings to boost the production cycle, and maybe maintain it.}
DNT_WAR_FAC_LANG_28	{COOLANT OVERVIEW. Coolant chamber: full. Coolant pump hydraulics: operational. Coolant network: suspected blockage, reduced operations. Engineer notified.}
WAR_FAC_OPT_A_28	{Repair coolant chamber}
WAR_FAC_OPT_B_28	{Repair coolant pump}
WAR_FAC_OPT_C_28	{Repair coolant network}
TRA_HARV_DESC_1	{An off-world command priority has stalled all processes within this installation. The terminal blinks angrily with a demand for urgent action on an unpaid debt.

There is an option to reply with currency attached. I get the impression someone's life would get a lot easier if I'm feeling charitable...}
DNT_TRA_HARV_LANG_1	{Gek Trade Federation fury! Planetary installation tax unpaid! Initiate repayment!}
TRA_HARV_OPT_A_1	{Pay full amount}
TRA_HARV_OPT_B_1	{Pay partial amount}
TRA_HARV_RES_A_1	{A remotely-operated scent dispersal system bathes me in a pleasant perfume.

The terminal unlocks something that will aid my travels.}
TRA_HARV_RES_B_1	{An angry alien beak momentarily appears on a terminal and shouts at me.

Limited systems within the facility are back online.}
TRA_HARV_DESC_2	{Images of fighter-class starships have been sent here. They bare scorch-marks from battle, and are most likely pirates.
 
The message seems to ask for witnesses, and there's some form of reward for replies...}
DNT_TRA_HARV_LANG_2	{Gek Trade Federation warning. Pirate activity detected. Report sightings!}
TRA_HARV_OPT_A_2	{Tag some ships}
TRA_HARV_OPT_B_2	{Tag all ships}
TRA_HARV_RES_A_2	{An instant reply comes through with a small monetary reward!}
TRA_HARV_RES_B_2	{A worried response comes through with a reward for my report.}
TRA_HARV_DESC_3	{A mass-mailed corporate message sits unread on the terminal. It is full of high numbers and seemingly impressive profit margins. The tone seems satisfied, and grateful.

At its foot the employee can choose between one of two images: a galactic unit banking account, or a full hold of cargo.}
DNT_TRA_HARV_LANG_3	{Friend! Gek Trade Federation announces high profit! Choose units or product recipe reward!}
TRA_HARV_OPT_A_3	{Choose unit account}
TRA_HARV_OPT_B_3	{Choose ship's cargo}
TRA_HARV_RES_A_3	{An automatic scent dispenser sprays me with a pleasant perfume when it opens.

I receive funds from the message's senders.}
TRA_HARV_RES_B_3	{A nearby storage vault opens.

I receive trade goods.}
TRA_HARV_DESC_4	{There is a message from a distant alien race. They sound angry with the trader who's logged into the system.

I can send them one of two on-screen metallic products. The first looks oddly faint in colour, and the second shimmers brightly on-screen.}
DNT_TRA_HARV_LANG_4	{Scurrilous Gek Trader! Gek offer impure matter! Vy'keen destroy Gek! Units withheld!}
TRA_HARV_OPT_A_4	{Send faintly-coloured metal}
TRA_HARV_OPT_B_4	{Send brightly-coloured metal}
TRA_HARV_RES_A_4	{The voice of an angry warrior screams through the intercom. 

Nothing else happens.}
TRA_HARV_RES_B_4	{A noise of gruff acceptance is heard over the intercom.

A payment is released.}
TRA_HARV_DESC_5	{The screen shows that a lot of elements are exchanged here, but right now the trading vault is open... and empty. 

An off-world message, perhaps related to this, flashes on-screen.}
DNT_TRA_HARV_LANG_5	{Friend! Gek Trade Federation demand uncommon metal elements! High units offer!}
TRA_HARV_OPT_A_5	{Put common metal into trading vault}
TRA_HARV_OPT_B_5	{Put uncommon metal into trading vault}
TRA_HARV_OPT_C_5	{Put rare metal into trading vault}
TRA_HARV_RES_A_5	{I receive a small payment.}
TRA_HARV_RES_B_5	{I receive a generous payment.}
TRA_HARV_RES_C_5	{I receive a decent payment...

... and a surprised note of thanks.}
EXP_HARV_DESC_1	{I discover an excited message from off-world. It seems to be discussing a report with... an image of me at its centre!

Someone seems intrigued by my journey, and may well want to help. Should I get in touch?}
DNT_EXP_HARV_LANG_1	{Unknown lifeform research is HIGHLY commendable Entity! Discuss data with Korvax Convergence immediately!}
EXP_HARV_OPT_A_1	{Delete report}
EXP_HARV_OPT_B_1	{Open comms}
EXP_HARV_RES_A_1	{The report is wiped from the system.

An off-world message appears briefly. It seems disappointed.}
EXP_HARV_RES_B_1	{I briefly see mask lights staring out at me before the comms feed is cut.

The terminal rewards me with valuable knowledge.}
EXP_HARV_DESC_2	{I find a report filled with images of Sentinels, but its upload seems to have stalled.
 
A demanding, perhaps rude, off-world message flashes at me. Somebody, somewhere, wants something.}
DNT_EXP_HARV_LANG_2	{Ahem. Planetary Sentinel scan data? UPLOAD SENTINEL SCAN DATA, ENTITY! IMMEDIATELY!}
EXP_HARV_OPT_A_2	{Resend Sentinel data}
EXP_HARV_OPT_B_2	{Reply with a refusal}
EXP_HARV_RES_A_2	{The information packet is uploaded, and payment appears instantaneously.}
EXP_HARV_RES_B_2	{Bright red mask lights appear and scream in angry binary.}
EXP_HARV_DESC_3	{A hollow metallic mask emerges. It's a data extraction device for electronic lifeforms, and my head can just about fit inside. A higher power could perhaps hear my needs and desires.

Arcs of electricity crackle over its surface. If I risk this, it could hurt...}
DNT_EXP_HARV_LANG_3	{Entity! The Korvax Convergence is dissatisfied! Your neural netway cortex upload is late!}
EXP_HARV_OPT_A_3	{Use while thinking about my journey}
EXP_HARV_OPT_B_3	{Use with a clear mind}
EXP_HARV_OPT_C_3	{Leave well alone}
EXP_HARV_RES_A_3	{The pain is unbearable. I see into the heart of... the Korvax convergence.

It rewards my experiences.}
EXP_HARV_RES_B_3	{The creatures stare into the depths of my mind.

The pain is indescribable, but I am thanked.}
EXP_HARV_RES_C_3	{I cautiously back away from the alien device.}
EXP_HARV_DESC_4	{A mass-mailed off-world message shows damaged electronic lifeforms. Arms are ripped off, masks chewed and facial lights dimmed.

It feels offensive. It's clearly intended to shock recipients into a response. Replies can be sent with units attached...}
DNT_EXP_HARV_LANG_4	{Korvax friend! Dangerous creatures attack Korvax Entity! For weaponry sales contact Gek Trade Federation today!}
EXP_HARV_OPT_A_4	{Reply with units}
EXP_HARV_OPT_B_4	{Reply with outrage}
EXP_HARV_OPT_C_4	{Do not reply}
EXP_HARV_RES_A_4	{I paid for a new multi-tool to protect me.}
EXP_HARV_RES_B_4	{I receive no reply. But someone else appreciates me...}
EXP_HARV_RES_C_4	{I leave the distasteful message unanswered.}
EXP_HARV_DESC_5	{I open an unread off-world message. It's an important choice for the research station operator to make.

There are three clear images that I can choose from on behalf of the absent electronic lifeform: dangerous-looking predators, a geological mining survey and an orbiting asteroid cluster. It seems the decision will be rewarded in some way...}
DNT_EXP_HARV_LANG_5	{Entity! Clarify your next research topic immediately! Korvax Convergence technology advance imminent!}
EXP_HARV_OPT_A_5	{The predators}
EXP_HARV_OPT_B_5	{The mining survey}
EXP_HARV_OPT_C_5	{The asteroid cluster}
EXP_HARV_RES_A_5	{I receive a new multi-tool.}
EXP_HARV_RES_B_5	{I receive a multi-tool technology blueprint.}
EXP_HARV_RES_C_5	{I receive a ship technology blueprint.}
WAR_HARV_DESC_1	{I open a list of military achievements that's waiting for upload. There are images of distant battles, bloodied robots and vast explosions.

A covering note clearly expects something in return, but the author chose not to send it.}
DNT_WAR_HARV_LANG_1	{Grah! Old honourable warrior retires! Death! Death! Warrior remuneration!}
WAR_HARV_OPT_A_1	{Send war record}
WAR_HARV_OPT_B_1	{Edit war record}
WAR_HARV_RES_A_1	{Celebratory barks and howls spill from audio speakers.

I take the warrior's reward.}
WAR_HARV_RES_B_1	{I amend the war record with colourful nonsense and send it. 

The terminal flashes as it records my image.}
WAR_HARV_DESC_2	{Military insignia and images of recently destroyed Sentinels fill the screen. Alien propaganda imagery takes glory in the destruction.
 
I can respond with a numerical value, and nothing else.}
DNT_WAR_HARV_LANG_2	{Grah! Vy'keen High Command demands your Sentinel kill count!}
WAR_HARV_OPT_A_2	{Input a huge number}
WAR_HARV_OPT_B_2	{Input a small number}
WAR_HARV_OPT_C_2	{Input a zero}
WAR_HARV_RES_A_2	{A strange, strangled military fanfare starts playing.

Someone impressed by my claims sends through a reward.}
WAR_HARV_RES_B_2	{A small reward payment is sent through the facility's systems.}
WAR_HARV_RES_C_2	{An angry warrior's face screams at me from the screen.

A security laser appears from the ceiling and takes its best shot.}
WAR_HARV_DESC_3	{I find an image of a young warrior. The picture makes it look virile and impressive. Its tendrils are outstretched. It looks rich, and of good breeding stock. The look in its eyes is... sultry?

The message gives me two options.}
DNT_WAR_HARV_LANG_3	{Grah! Pathetic warrior! You displease my ancestors! Accept my offspring mating proposition! Accept dowry tribute!}
WAR_HARV_OPT_A_3	{ยอมรับ}
WAR_HARV_OPT_B_3	{Refuse}
WAR_HARV_RES_A_3	{Speakers throughout the facility play orchestral music.

I receive a generous gift.}
WAR_HARV_RES_B_3	{A warrior elder appears on-screen and curses me.}
WAR_HARV_DESC_4	{I find a picture of a deserted plain, a diagram of two aliens in combat and images of a chosen form of multi-tool weaponry. The images then seem to show the weapon locked inside a planetary trading vault...

The message sounds angry, and as if one of these creatures occupies the moral high ground. I can accept, or refuse.}
DNT_WAR_HARV_LANG_4	{Grah! Pathetic coward! Face my duel challenge! The chosen weapon is in your facility! Death! Death!}
WAR_HARV_OPT_A_4	{ยอมรับ}
WAR_HARV_OPT_B_4	{Refuse}
WAR_HARV_RES_A_4	{Dramatic music plays.

The storage vault opens, with a multi-tool inside.}
WAR_HARV_RES_B_4	{I hear an angry ranting alien through the terminal speakers.}
WAR_HARV_DESC_5	{A huge list of equipment is waiting to be sent off-world. It's a stock list of some sort: everything has been confirmed and ticked off.}
DNT_WAR_HARV_LANG_5	{Grah! Gek war approaches! Vy'keen High Command request weapon reserve inventory! High Command send missing equipment!}
WAR_HARV_OPT_A_5	{Send stock list}
WAR_HARV_OPT_B_5	{Uncheck one item and send}
WAR_HARV_OPT_C_5	{Uncheck many items and send}
WAR_HARV_RES_A_5	{I receive units and thanks.}
WAR_HARV_RES_B_5	{Warrior High Command sends me a multi-tool technology blueprint.}
WAR_HARV_RES_C_5	{Warrior High Command is displeased.

An angry General bellows at me and electrifies the facility.}
WAR_HARV_DESC_6	{I find an off-world message intended for a creature posted in this station. It's oddly sentimental. Images of an infant warrior can be seen, then a picture of the same creature as a bloodied adolescent – proudly biting into the throat of a hoofed beast.

In the final image a young warrior salutes its family as it leaves a distant world. There are two locked storage vaults at my feet. The message is programmed to release only one...}
DNT_WAR_HARV_LANG_6	{Grah! Today child experiences Vy'keen war ceremony! Tradition demands gift! Aggression left, defence right! Enemy blood! Death! Death!}
WAR_HARV_OPT_A_6	{Choose the storage vault on the left}
WAR_HARV_OPT_B_6	{Choose the storage vault on the right}
WAR_HARV_RES_A_6	{A contented snarling sound plays.

The vault contains an exosuit technology blueprint.}
WAR_HARV_RES_B_6	{A contented snarling sound plays.

The vault contains a multi-tool technology blueprint.}
WAR_HARV_DESC_7	{Someone is building a nuclear warhead. The plans that have been set in motion are unmistakable. A complicated sequence of technology blueprints and isotopic chemical reactions is waiting for the final addition of Thamium9 to be complete.

There are countless lives on an unknown planet, far out in the cosmos, that could one day end due to this war factory's work...}
DNT_WAR_HARV_LANG_7	{Grah! Vy'keen war preparation nears completion! Death to the unsuspecting Gek!}
WAR_HARV_OPT_A_7	{Complete warhead manufacture}
WAR_HARV_OPT_B_7	{Attempt to deconstruct warhead}
WAR_HARV_RES_A_7	{The face of a delighted warrior appears on-screen.

The factory's trade vaults unlock.}
WAR_HARV_RES_B_7	{I salvage a technology blueprint from the warhead.}
WAR_HARV_DESC_8	{An off-world message has been sent here from a species of beaked traders. It looks like a signed contract, or maybe some sort of treaty. In response several offerings of valuable trade goods have been left in a vault by local warriors for exportation.

Warrior High Command has sent a subsequent message to explain...}
DNT_WAR_HARV_LANG_8	{Grah! Foolish, pathetic, ignorant Gek Trade Federation believe peace treaty! Warrior give trade to pacify! Death soon!}
WAR_HARV_OPT_A_8	{Give trade goods}
WAR_HARV_OPT_B_8	{Take trade goods}
WAR_HARV_RES_A_8	{The Trader species thanks me from afar.

I am sent units to pacify me further.}
WAR_HARV_RES_B_8	{I remove the offerings.

Diplomatic relations between two species are destabilised.}
WAR_HARV_DESC_10	{This appears to be a staging post for an imminent military operation. On-screen plans show a trading ship that carries a very particular sort of cargo, that's perhaps intended to persuade a distant planetary authority to allow the craft through their checkpoints. Covertly, however, the craft has been heavily modified – and also carries a phalanx of warriors carrying enhanced multi-tool technology.

I can request further details on several aspects of the plan before I am detected, and shut out of the system.}
DNT_WAR_HARV_LANG_10	{Grah! Gek homeworld covert ops mission initiated! Surprise war! Death! Death! High command send equipment! Request! Request!}
WAR_HARV_OPT_A_10	{Investigate details of the cargo}
WAR_HARV_OPT_B_10	{Investigate details of the trade ship}
WAR_HARV_OPT_C_10	{Investigate details of the multi-tool}
WAR_HARV_RES_A_10	{I receive the product blueprint of the cargo being used in the covert ops mission.}
WAR_HARV_RES_B_10	{I receive a technology blueprint used by the covert ops ship.}
WAR_HARV_RES_C_10	{I receive a technology blueprint used in the multi-tools of the covert ops mission.}
TRA_HARV_DESC_6	{This is a brand new manufacturing plant with no assigned specialty. The terminal is entirely blank, and is running automated start-up procedures. I have to flick through several screens before a pictorial message appears.

There are three chemical symbols – one a catalyst, and the others organic and metallic . Production processes warm up around me, waiting for a template to work from.}
DNT_TRA_HARV_LANG_6	{Trade federation friend! Product recipe unselected! Gek Trade Federation lose units!}
TRA_HARV_OPT_A_6	{Choose the catalyst}
TRA_HARV_OPT_B_6	{Choose the metal}
TRA_HARV_OPT_C_6	{Choose the organic compound}
TRA_HARV_RES_A_6	{The terminal processes my selection, and provides something appropriate to the work at hand...}
TRA_HARV_RES_B_6	{The terminal processes my selection, and provides something appropriate to the work at hand...}
TRA_HARV_RES_C_6	{The terminal processes my selection, and provides something appropriate to the work at hand...}
TRA_HARV_DESC_7	{The trade vaults in this installation are full to the brim, and ready for distribution. There are three images on-screen, each showing the outline of a different sort of trader. It's strange... it's as if they're put in order of the size of their gut.

The first trader is small and sleek, the second is pudgier – and the final has a huge belly that almost drags on the floor. I'm clearly meant to choose one...}
DNT_TRA_HARV_LANG_7	{Rejoice! Vy'keen war reparations arrive! Elder large Gek receive high reward! Low toilgek receive low reward!}
TRA_HARV_OPT_A_7	{Choose the small, sleek trader}
TRA_HARV_OPT_B_7	{Choose the medium-sized trader}
TRA_HARV_OPT_C_7	{Choose the obese trader}
TRA_HARV_RES_A_7	{A trade vault opens.

I receive a cursory amount of trade goods .}
TRA_HARV_RES_B_7	{A trade vault opens

